test_idx,ground_truth,software_float,fixed_point_chain,error_fp_minus_sw
63,1.40142179,1.60266340,1.60493016,0.00226676
64,-0.96502841,-0.94157225,-0.94411790,-0.00254565
65,-0.07605770,0.22447851,0.22458167,0.00010316
66,0.34587082,0.42369232,0.42737636,0.00368404
67,-0.70398718,-0.69926918,-0.69867331,0.00059587
68,-0.06919631,-0.11953104,-0.12731424,-0.00778320
69,0.81145155,0.63976032,0.64420104,0.00444072
70,0.61902976,0.58059192,0.59133625,0.01074433
71,0.89539886,0.97085738,0.97469866,0.00384128
72,0.37083581,0.57722366,0.57655358,-0.00067008
73,-1.34928942,-1.35136950,-1.34853530,0.00283420
74,0.88050872,0.74443281,0.74667454,0.00224173
75,1.01190436,0.84770739,0.85007411,0.00236672
76,1.02373135,1.12740171,1.13201642,0.00461471
77,1.19629753,1.19353354,1.19989181,0.00635827
78,1.22622693,1.29025066,1.29518950,0.00493884
79,1.60435617,1.74634719,1.75029910,0.00395191
80,0.09899121,0.00763827,0.00627626,-0.00136201
81,-1.00459278,-0.86479312,-0.86560583,-0.00081271
82,-0.98517597,-0.87644267,-0.89006758,-0.01362491
83,0.00788958,-0.09646717,-0.09339526,0.00307190
84,-0.60602415,-0.90116429,-0.90098292,0.00018138
85,-0.82531011,-0.61787432,-0.61351621,0.00435811
86,-2.42528105,-2.42675900,-2.42713881,-0.00037980
87,0.80254513,0.79217780,0.79778433,0.00560653
88,-1.32257235,-1.72284853,-1.72069335,0.00215518
89,-0.62894523,-0.72852027,-0.72363573,0.00488454
90,-1.10489273,-1.12861204,-1.12626827,0.00234377
91,-1.89297867,-1.86661959,-1.85083902,0.01578057
92,-0.17110129,-0.27962255,-0.27636385,0.00325871
93,1.15571058,1.30404961,1.30476201,0.00071239
94,-1.34286582,-1.43753505,-1.43458915,0.00294590
95,-1.10810399,-1.07250035,-1.06963658,0.00286376
96,-1.13642716,-1.41330767,-1.41478705,-0.00147939
97,-1.52185667,-1.57855284,-1.57609951,0.00245333
98,1.07950008,1.03985870,1.04686034,0.00700164
99,0.04760098,0.03291860,0.03399560,0.00107700
100,0.69436240,0.72359788,0.72867125,0.00507337
101,-2.58850408,-2.56153607,-2.56188655,-0.00035048
102,1.53165007,1.43887162,1.46028018,0.02140856
103,-0.92444152,-0.96156657,-0.95876122,0.00280535
104,0.50924093,0.26874918,0.26927885,0.00052968
105,0.66253495,0.59935212,0.60793036,0.00857824
106,-1.26256859,-1.29854071,-1.29677963,0.00176108
107,-0.60179037,-0.59007508,-0.59353215,-0.00345707
108,0.77801788,0.84871233,0.85902435,0.01031202
109,-1.31687832,-0.75205922,-0.75943494,-0.00737572
110,-0.55054492,-0.53990668,-0.54402274,-0.00411606
111,1.33951998,1.25446129,1.25757980,0.00311852
112,0.25009656,0.43452713,0.44377008,0.00924295
113,1.36638188,1.31763625,1.31923425,0.00159800
114,-0.60748333,-0.89079982,-0.87248826,0.01831156
115,1.21951032,1.10601926,1.11063623,0.00461698
116,-1.21438968,-1.29092872,-1.28513718,0.00579154
117,-1.71515620,-1.88682938,-1.88480353,0.00202584
118,0.74458647,0.59148157,0.58984715,-0.00163442
119,-1.57558382,-1.44927716,-1.44719672,0.00208044
120,0.74049860,0.76253116,0.76639175,0.00386059
121,0.92080379,0.95896012,0.96120238,0.00224227
122,0.54106617,0.42987674,0.43627244,0.00639570
123,0.79276544,0.85715252,0.86397338,0.00682086
124,-2.45900655,-2.14925361,-2.14068937,0.00856423
125,-0.70354944,-0.58926177,-0.58980668,-0.00054491
126,0.20761277,0.08066040,0.07194448,-0.00871593
127,-1.26315224,-1.33082044,-1.33148718,-0.00066674
128,1.01175952,1.06887126,1.07451439,0.00564313
129,-2.71800256,-2.74264050,-2.74163389,0.00100660
130,0.74400276,0.60569763,0.60458016,-0.00111747
131,-0.02700324,-0.03209180,-0.01679909,0.01529270
132,-2.28556252,-2.25988531,-2.25694680,0.00293851
133,0.12410210,-0.13525487,-0.13437276,0.00088212
134,1.54493618,1.43628836,1.44047081,0.00418246
135,0.76093793,0.71498483,0.71986902,0.00488418
136,0.41156861,0.33406535,0.34195575,0.00789040
137,-1.38170052,-1.35184515,-1.35337174,-0.00152659
138,0.72881860,0.69131911,0.69694942,0.00563031
139,0.01942362,0.04130647,0.03044602,-0.01086044
140,-0.16015202,-0.08099189,-0.06892493,0.01206696
141,0.99876523,0.93157107,0.93102890,-0.00054216
142,0.50763470,0.70960510,0.71234751,0.00274241
143,-0.56470656,-0.40690592,-0.39283147,0.01407444
144,0.64589161,0.31681678,0.31276280,-0.00405398
145,0.43609583,0.44650751,0.45047426,0.00396675
146,-0.19562851,-0.22472852,-0.21654035,0.00818817
147,0.44178990,0.42132995,0.42949811,0.00816816
148,0.53800082,0.51185274,0.51329356,0.00144082
149,0.60734981,0.81567419,0.82301748,0.00734329
150,-0.16292554,-0.10250971,-0.09768778,0.00482193
151,1.97766912,2.06886101,2.07178545,0.00292444
152,-1.78143764,-1.99182999,-1.98974514,0.00208485
153,1.50186753,1.54265344,1.54482329,0.00216985
154,-0.41491443,-0.30415595,-0.30524379,-0.00108784
155,0.56895280,0.53716868,0.54399192,0.00682324
156,0.42894262,0.76138532,0.75844491,-0.00294042
157,-0.23402555,-0.09500605,-0.10532671,-0.01032066
158,1.47602594,1.19726825,1.19629657,-0.00097167
159,-0.36396196,-0.39139271,-0.39230588,-0.00091317
160,0.14789976,0.20819366,0.20613027,-0.00206339
161,-1.03481412,-1.09464824,-1.09361756,0.00103068
162,-0.40805304,-0.36063313,-0.36440480,-0.00377166
163,-0.66033494,-0.49535203,-0.49380413,0.00154790
164,-1.02225864,-0.97431159,-0.97251958,0.00179201
165,0.89233351,1.11844611,1.12160707,0.00316095
166,0.60253125,0.57386148,0.57608438,0.00222290
167,-0.67347407,-0.69157147,-0.69362831,-0.00205684
168,-0.65405607,-0.53154892,-0.52653980,0.00500911
169,1.51413119,1.44864058,1.45361578,0.00497520
170,-0.86458260,-0.82673728,-0.81655467,0.01018262
171,0.12322661,0.29644504,0.29894832,0.00250328
172,0.49449560,0.23177917,0.22973143,-0.00204775
173,1.05716276,0.93087518,0.92860496,-0.00227022
174,-1.19467986,-1.18864703,-1.18710649,0.00154054
175,-1.40783393,-1.50018728,-1.49179244,0.00839484
176,0.08687351,0.08684510,0.07633358,-0.01051152
177,-0.52864641,-0.38600791,-0.38345677,0.00255114
178,0.44032964,0.50873041,0.50623477,-0.00249565
179,-0.81611180,-1.17756724,-1.17362726,0.00393999
180,0.76955032,0.82704991,0.82966286,0.00261295
181,-1.31206083,-1.37152290,-1.35966587,0.01185703
182,-2.43696094,-2.32611942,-2.32575679,0.00036263
183,1.24141109,0.96439999,0.96097392,-0.00342607
184,-0.92166692,-0.86982101,-0.86689466,0.00292635
185,-0.00992218,0.06797716,0.06028616,-0.00769100
186,-2.40454984,-2.50418091,-2.50497341,-0.00079250
187,1.19513011,1.15509796,1.16259038,0.00749242
188,-1.97488308,-1.97047114,-1.96925259,0.00121856
189,1.36506975,1.04861426,1.05343723,0.00482297
190,-0.15153854,-0.27877191,-0.27737403,0.00139788
191,-1.30052674,-1.25309110,-1.25204527,0.00104582
192,-0.86326939,-0.60681486,-0.60028785,0.00652701
193,0.05139590,0.09384137,0.09953822,0.00569685
194,0.97890949,0.83718383,0.83929539,0.00211155
195,1.26666677,1.32163942,1.32890511,0.00726569
196,-0.76326132,-0.64981514,-0.65159476,-0.00177962
197,0.65961665,0.62649894,0.62400591,-0.00249302
198,0.52778226,0.61801291,0.62741596,0.00940305
199,-0.91378409,-1.06509399,-1.06091642,0.00417757
200,-0.24643508,-0.62085092,-0.62356043,-0.00270951
201,-0.17256156,-0.19806051,-0.19072950,0.00733101
202,-1.37469327,-1.40943301,-1.41320610,-0.00377309
203,0.70137084,0.76767302,0.77504063,0.00736761
204,0.16366757,0.00496054,0.00749958,0.00253904
205,0.24644755,0.26430625,0.26131630,-0.00298995
206,0.25798047,-0.03721285,-0.03472620,0.00248665
207,1.03336620,1.09470832,1.09523451,0.00052619
208,0.43171614,0.30706125,0.30447915,-0.00258210
209,0.53756416,0.66621131,0.67390096,0.00768965
210,-0.94327468,-1.02920628,-1.01310706,0.01609921
211,1.28068364,1.30283225,1.30819547,0.00536323
212,-1.62084222,-1.64421475,-1.64332616,0.00088859
213,1.61749530,1.66235781,1.66562247,0.00326467
214,-0.20760030,-0.11189501,-0.11414109,-0.00224608
215,0.10351683,0.15330425,0.15510048,0.00179623
216,0.26250720,0.25182015,0.26580808,0.01398793
217,-0.57302821,-0.66744542,-0.67941475,-0.01196933
218,0.83393598,0.98308063,0.98854899,0.00546837
219,-2.12715697,-2.45940447,-2.46019125,-0.00078678
220,0.93919814,1.13927698,1.14510334,0.00582635
221,-1.05890357,-1.28949571,-1.29121900,-0.00172329
222,0.49347308,0.55360115,0.55686074,0.00325960
223,1.10271299,1.03308427,1.03139424,-0.00169003
224,-0.24804127,-0.28949940,-0.29086897,-0.00136957
225,0.55917084,0.42021468,0.42227906,0.00206438
226,0.55887902,0.51335645,0.51475370,0.00139725
227,1.16082096,1.14032614,1.14407003,0.00374389
228,-0.81144029,-0.63825297,-0.65202296,-0.01376998
229,-0.07620362,0.01469992,0.01444410,-0.00025582
230,-0.61609793,-1.00094783,-0.99786776,0.00308007
231,1.17089474,1.19649076,1.20014882,0.00365806
232,0.72808790,0.74175793,0.74885976,0.00710183
233,-1.03189468,-1.02126420,-1.01793051,0.00333369
234,-0.68953371,-0.41109422,-0.41277635,-0.00168213
235,0.42397815,0.50192612,0.49349970,-0.00842643
236,1.46741140,1.53207552,1.53363860,0.00156307
237,1.20826924,1.16460502,1.17050862,0.00590360
238,0.23272365,0.20588025,0.20664006,0.00075981
239,-0.88487607,-1.07159829,-1.07048094,0.00111735
240,-2.07138586,-2.35041165,-2.35171127,-0.00129962
241,-0.28308001,-0.36565691,-0.36041087,0.00524604
242,-1.68522668,-1.84936023,-1.84151351,0.00784671
243,-0.99670887,-0.90148175,-0.89563245,0.00584930
244,0.51157558,0.48617107,0.48884231,0.00267124
245,0.65363073,0.70900893,0.71595937,0.00695044
246,-0.28585464,-0.04636067,-0.04803863,-0.00167796
247,1.04562986,1.01888430,1.02708864,0.00820434
248,-0.90006024,-0.97358274,-0.97391343,-0.00033069
249,1.37850070,1.66365111,1.67519534,0.01154423
250,-1.82815635,-1.90157056,-1.89799345,0.00357711
251,-2.97495604,-2.88951707,-2.88796186,0.00155520
252,-0.52455854,-1.27899837,-1.27502596,0.00397241
253,-0.69201541,-0.83082354,-0.82445598,0.00636756
254,1.45252132,1.39646912,1.39979172,0.00332260
255,0.00058934,0.02172941,0.01684546,-0.00488394
256,0.79159588,0.86796844,0.86667573,-0.00129271
257,-1.21570289,-1.09139967,-1.09138823,0.00001144
258,-0.83596754,-0.70945710,-0.70864654,0.00081056
259,-0.99072295,-0.75076485,-0.75237989,-0.00161505
260,-0.76734918,-0.80716860,-0.77805644,0.02911216
261,0.10205656,-0.02196987,-0.01577818,0.00619169
262,0.10921089,0.03750813,0.03686194,-0.00064619
263,1.45646214,1.53971970,1.53593087,-0.00378883
264,0.72852677,0.99880677,0.99357951,-0.00522727
265,-0.35651690,-0.24720651,-0.24377942,0.00342709
266,0.99584466,0.96979153,0.97059292,0.00080138
267,0.16702588,0.22266757,0.22040609,-0.00226149
268,0.27929643,0.48795855,0.48684138,-0.00111717
269,-0.09562157,-0.11101067,-0.10709594,0.00391473
270,1.37689459,1.29917097,1.30262351,0.00345254
271,-0.40703166,-0.38153690,-0.37814751,0.00338939
272,-0.36527631,-0.46707109,-0.47120005,-0.00412896
273,0.93496543,0.92003423,0.92475581,0.00472158
274,0.87481469,0.85774755,0.86157644,0.00382888
275,-0.32541901,-0.35556439,-0.34584492,0.00971946
276,0.75860107,0.65197158,0.65419507,0.00222349
277,-0.05299075,0.14553258,0.14451516,-0.00101742
278,-1.00882661,-1.15849698,-1.15613532,0.00236166
279,-0.52134615,-0.51320940,-0.51176441,0.00144500
280,0.07490172,0.02678940,0.02788749,0.00109810
281,-0.22979176,-0.22855905,-0.22793971,0.00061934
282,0.28455162,0.22307703,0.22733793,0.00426090
283,-1.32344890,-1.09168661,-1.08161950,0.01006711
284,0.51405722,0.13672960,0.14147949,0.00474989
285,0.85379165,0.83442706,0.84286642,0.00843936
286,0.58106935,0.47607809,0.47579953,-0.00027856
287,-1.00050497,-0.84425175,-0.84101427,0.00323749
288,0.67494559,0.88478178,0.88557637,0.00079459
289,-0.12788680,-0.09872323,-0.11058930,-0.01186606
290,-1.72230947,-1.59021449,-1.58724332,0.00297117
291,-0.49681890,-0.18381840,-0.18314326,0.00067514
292,0.24221376,0.32693863,0.32881728,0.00187865
293,-2.13927460,-1.85492504,-1.85020888,0.00471616
294,-0.37023968,-0.30286786,-0.30262488,0.00024298
295,-0.26074263,0.10300790,0.10316087,0.00015298
296,1.70217335,1.66231322,1.66470098,0.00238776
297,-1.19979024,-1.04822350,-1.05088043,-0.00265694
298,0.07650791,0.18393576,0.17893142,-0.00500435
299,0.81758446,0.22503589,0.23409934,0.00906345
300,0.56004637,0.70005178,0.70404565,0.00399387
