sample_id,sw_pred,rtl_out
106,-1.298541,-1.289062
107,-0.590075,-0.593750
108,0.848712,0.855469
109,-0.752059,-0.765625
110,-0.539907,-0.537109
111,1.254461,1.259766
112,0.434527,0.462891
113,1.317636,1.320312
114,-0.890800,-0.871094
115,1.106019,1.132812
116,-1.290929,-1.283203
117,-1.886829,-1.886719
118,0.591482,0.595703
119,-1.449277,-1.443359
120,0.762531,0.757812
121,0.958960,0.962891
122,0.429877,0.441406
123,0.857153,0.857422
124,-2.149254,-2.150391
125,-0.589262,-0.589844
126,0.080660,0.064453
127,-1.330820,-1.328125
128,1.068871,1.095703
129,-2.742640,-2.740234
130,0.605698,0.625000
131,-0.032092,-0.021484
132,-2.259885,-2.250000
133,-0.135255,-0.140625
134,1.436288,1.427734
135,0.714985,0.720703
136,0.334065,0.337891
137,-1.351845,-1.363281
138,0.691319,0.701172
139,0.041306,0.035156
140,-0.080992,-0.068359
141,0.931571,0.927734
142,0.709605,0.708984
143,-0.406906,-0.382812
144,0.316817,0.312500
145,0.446508,0.466797
146,-0.224729,-0.210938
147,0.421330,0.439453
148,0.511853,0.511719
149,0.815674,0.816406
150,-0.102510,-0.089844
151,2.068861,2.074219
152,-1.991830,-1.984375
153,1.542653,1.552734
154,-0.304156,-0.300781
155,0.537169,0.537109
156,0.761385,0.748047
157,-0.095006,-0.121094
158,1.197268,1.210938
159,-0.391393,-0.376953
160,0.208194,0.212891
161,-1.094648,-1.080078
162,-0.360633,-0.347656
163,-0.495352,-0.498047
164,-0.974312,-0.962891
165,1.118446,1.119141
166,0.573861,0.564453
167,-0.691571,-0.687500
168,-0.531549,-0.511719
169,1.448641,1.462891
170,-0.826737,-0.800781
171,0.296445,0.314453
172,0.231779,0.240234
173,0.930875,0.933594
174,-1.188647,-1.185547
175,-1.500187,-1.505859
176,0.086845,0.089844
177,-0.386008,-0.390625
178,0.508730,0.509766
179,-1.177567,-1.169922
180,0.827050,0.832031
181,-1.371523,-1.349609
182,-2.326119,-2.318359
183,0.964400,0.966797
184,-0.869821,-0.861328
185,0.067977,0.066406
186,-2.504181,-2.500000
187,1.155098,1.160156
188,-1.970471,-1.972656
189,1.048614,1.087891
190,-0.278772,-0.271484
191,-1.253091,-1.248047
192,-0.606815,-0.619141
193,0.093841,0.105469
194,0.837184,0.847656
195,1.321639,1.322266
196,-0.649815,-0.640625
197,0.626499,0.615234
198,0.618013,0.634766
199,-1.065094,-1.050781
200,-0.620851,-0.625000
201,-0.198061,-0.210938
202,-1.409433,-1.408203
203,0.767673,0.777344
204,0.004961,0.039062
205,0.264306,0.246094
206,-0.037213,-0.031250
207,1.094708,1.099609
208,0.307061,0.304688
209,0.666211,0.679688
210,-1.029206,-1.011719
211,1.302832,1.289062
212,-1.644215,-1.636719
213,1.662358,1.673828
214,-0.111895,-0.117188
215,0.153304,0.154297
216,0.251820,0.240234
217,-0.667445,-0.662109
218,0.983081,0.980469
219,-2.459404,-2.451172
220,1.139277,1.142578
221,-1.289496,-1.287109
222,0.553601,0.548828
223,1.033084,1.039062
224,-0.289499,-0.296875
225,0.420215,0.435547
226,0.513356,0.517578
227,1.140326,1.142578
228,-0.638253,-0.644531
229,0.014700,0.017578
230,-1.000948,-0.980469
231,1.196491,1.189453
232,0.741758,0.744141
233,-1.021264,-1.009766
234,-0.411094,-0.408203
235,0.501926,0.490234
236,1.532076,1.531250
237,1.164605,1.175781
238,0.205880,0.212891
239,-1.071598,-1.072266
240,-2.350412,-2.328125
241,-0.365657,-0.349609
242,-1.849360,-1.841797
243,-0.901482,-0.900391
244,0.486171,0.488281
245,0.709009,0.714844
246,-0.046361,-0.037109
247,1.018884,1.021484
248,-0.973583,-0.957031
249,1.663651,1.675781
250,-1.901571,-1.892578
251,-2.889517,-2.888672
252,-1.278998,-1.253906
253,-0.830824,-0.822266
254,1.396469,1.414062
255,0.021729,0.015625
256,0.867968,0.876953
257,-1.091400,-1.070312
258,-0.709457,-0.697266
259,-0.750765,-0.750000
260,-0.807169,-0.794922
261,-0.021970,-0.011719
262,0.037508,0.041016
263,1.539720,1.531250
264,0.998807,0.982422
265,-0.247207,-0.240234
266,0.969792,0.970703
267,0.222668,0.234375
268,0.487959,0.500000
269,-0.111011,-0.095703
270,1.299171,1.308594
271,-0.381537,-0.367188
272,-0.467071,-0.472656
273,0.920034,0.923828
274,0.857748,0.867188
275,-0.355564,-0.347656
276,0.651972,0.658203
277,0.145533,0.123047
278,-1.158497,-1.167969
279,-0.513209,-0.519531
280,0.026789,0.023438
281,-0.228559,-0.216797
282,0.223077,0.226562
283,-1.091687,-1.074219
284,0.136730,0.130859
285,0.834427,0.847656
286,0.476078,0.468750
287,-0.844252,-0.830078
288,0.884782,0.892578
289,-0.098723,-0.103516
290,-1.590214,-1.587891
291,-0.183818,-0.171875
292,0.326939,0.322266
293,-1.854925,-1.853516
294,-0.302868,-0.292969
295,0.103008,0.109375
296,1.662313,1.660156
297,-1.048223,-1.039062
298,0.183936,0.171875
299,0.225036,0.244141
300,0.700052,0.707031
